Date,Close,High,Low,Open,Volume
2020-03-30,545.6976928710938,558.2547993058149,521.021589064407,536.8396195591228,2777231
2020-03-31,573.9754638671875,578.5991954715038,553.1443124532002,557.7680440575164,3151209
2020-04-01,563.6572265625,575.0948788407646,560.1529483529514,574.1701206038174,1298954
2020-04-03,638.4157104492188,648.1986018138554,562.6351976455886,566.9669164996169,6492775
2020-04-07,681.4407348632812,719.0146764095907,652.4329126582147,671.657903370635,8165523
2020-04-08,686.84326171875,714.9263880497599,679.9806812505761,682.3655656521532,6927854
2020-04-09,769.1456909179688,776.7869928342883,713.904260036583,713.904260036583,13732376
2020-04-13,804.09130859375,826.2365510619244,777.7603838273126,782.6274700840542,10064797
2020-04-15,788.8573608398438,831.2983290496758,770.3137147518636,825.4091665870693,7000858
2020-04-16,803.9453125,810.3698424407677,766.128017538494,783.600868666448,3963315
2020-04-17,800.3924560546875,822.5377018743825,795.8660413858086,818.6440322797108,3328045
2020-04-20,788.2246704101562,800.1490325126872,774.2074373163957,800.1490325126872,2294941
2020-04-21,790.9014892578125,823.0242574368991,770.946436298077,774.3533965594952,5837165
2020-04-22,785.1583862304688,807.546984581445,781.556789678063,783.6009422841678,3630813
2020-04-23,800.48974609375,815.0423475785108,789.4414827695081,789.4414827695081,3411965
2020-04-24,854.027587890625,867.3147569216659,798.8835371413575,802.7772060837668,14719795
2020-04-27,872.9605712890625,881.9160218035984,852.4214912350856,876.0268593683496,6448879
2020-04-28,831.6389770507812,877.04891406927,825.7011557816408,876.0754968505472,4121427
2020-04-29,831.687744140625,849.5012684037741,826.1879127677342,837.1388571195893,3285831
2020-04-30,813.0953979492188,854.8550207586817,789.9767388045951,851.6427557916475,7643181
2020-05-04,819.2766723632812,842.7846638809427,793.335078248134,804.042668261299,5482297
2020-05-05,804.8214111328125,844.8775567617942,799.1756026797298,844.8775567617942,3485068
2020-05-06,805.2107543945312,818.3032281808212,795.3305456240257,812.7547380193716,2243112
2020-05-07,791.6802368164062,814.3608468380708,787.2512002155029,798.2021442679596,2230759
2020-05-08,812.803466796875,817.3298811255457,795.5739682528965,798.2022069142964,2635460
2020-05-11,826.7232666015625,834.8999953463408,809.9318188753755,821.5155080283656,3945910
2020-05-12,829.2053833007812,837.7227834437949,822.5374995253179,827.4045853213257,2001722
2020-05-13,816.9404907226562,840.0591522116798,812.9981624354848,838.1123175599727,2253401
2020-05-14,840.1077880859375,843.3687716854519,806.6709276277106,817.6705312247462,3474044
2020-05-15,819.4226684570312,840.1077860113384,813.8741779834581,840.1077860113384,1984358
2020-05-18,834.072509765625,840.0103903738828,815.0908742356623,815.723619185063,2661106
2020-05-19,818.0111694335938,846.8730149138303,811.1972486239422,840.5458027334396,3414397
2020-05-20,849.9879150390625,854.6603057391569,818.6438691647278,822.1481473366307,3952756
2020-05-21,862.204345703125,866.2927101139728,840.2051391967972,846.8730237219517,2666556
2020-05-22,869.0182495117188,874.1286900717148,852.0807656049478,857.5805968298226,2372742
2020-05-26,881.8673706054688,894.7651491838438,869.2616053199183,869.2616053199183,5437014
2020-05-27,870.7703857421875,885.7610350993656,864.3945146618449,881.9160250941796,2493163
2020-05-28,857.7265625,867.1200025362119,845.169457250871,863.9077377600323,3226522
2020-05-29,846.6783447265625,858.3593521757567,818.157230087315,846.8730400665843,9473461
2020-06-01,827.1126708984375,852.7135333622814,823.6083330589324,851.7401160867537,5213799
2020-06-02,848.08984375,850.7180824080019,828.9135105798028,831.2010769393898,4740216
2020-06-03,844.3908081054688,862.3016499153568,838.2582912933186,856.6071827496477,3866831
2020-06-04,883.4735107421875,888.729987885772,845.7535906648889,846.8730443161244,6242195
2020-06-05,878.3630981445312,899.3402889972782,874.2260745194236,895.4466197030594,3694033
2020-06-08,876.3675537109375,887.6592296572032,857.3372580211607,880.9426267489644,2880744
2020-06-09,894.9598388671875,906.0567598131923,871.6951429453412,875.9782025886457,4737507
2020-06-10,903.671875,912.0432989487617,893.5970302863508,899.8269244150723,3077038
2020-06-11,893.8890991210938,907.0302327359789,887.8052409660544,899.4375896410252,1944883
